LinkID,111_IN,111_OUT,112_IN,112_OUT,121_IN,121_OUT,285_IN,285_OUT,286_IN,286_OUT,287_IN,287_OUT,288_IN,288_OUT,289_IN,289_OUT,290_IN,290_OUT,291_IN,291_OUT,292_IN,292_OUT,293_IN,293_OUT,299_IN,299_OUT,300_IN,300_OUT,301_IN,301_OUT,303_IN,303_OUT,5001_IN,5001_OUT,5002_IN,5002_OUT,5003_IN,5003_OUT,5004_IN,5004_OUT,5005_IN,5005_OUT,5006_IN,5006_OUT,5007_IN,5007_OUT,5009_IN,5009_OUT,5010_IN,5010_OUT,5011_IN,5011_OUT,5012_IN,5012_OUT,5013_IN,5013_OUT,5015_IN,5015_OUT,5016_IN,5016_OUT,5017_IN,5017_OUT,5021_OUT,5023_IN,5023_OUT,5025_OUT,5026_IN,5026_OUT,5027_IN,5027_OUT,5028_IN,5028_OUT,5031_IN,5031_OUT,5032_IN,5032_OUT,5034_IN,5034_OUT,5035_IN,5035_OUT,5036_IN,5036_OUT,5038_IN,5038_OUT,5040_IN,5040_OUT,5041_IN,5041_OUT,5042_IN,5042_OUT,5043_IN,5043_OUT,5044_IN,5044_OUT,5045_IN,5046_IN,9712_IN,9712_OUT
10018-14536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,1.4699130058288574,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,3.6432301998138428,0.0,3.6433653831481934,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,11.06930923461914,11.06930923461914
10019-11507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019-13471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019-13476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10933494567871,0.0,36.21866989135742,0.0,36.21866989135742,0.0,36.21866989135742,0.0,18.10933494567871,0.0,36.21866989135742,0.0,27.164002418518066,0.0,27.164002418518066,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,4.463254928588867,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,11.04997730255127,9.054667472839355,11.050281524658203,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,29.17864418029785,29.17864418029785
10020-11440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020-11691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020-13473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10933494567871,0.0,36.21866989135742,0.0,36.21866989135742,0.0,36.21866989135742,0.0,18.10933494567871,0.0,36.21866989135742,0.0,27.164002418518066,0.0,27.164002418518066,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,4.463254928588867,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,11.04997730255127,9.054667472839355,11.050281524658203,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,29.17864418029785,29.17864418029785
10021-13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021-13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021-13635,0.0,0.0,0.0,0.0,0.0,0.0,1.0541715621948242,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,2.1226632595062256,0.0,1.0613316297531128,0.0,2.1226632595062256,0.0,1.5919974446296692,0.0,1.5919974446296692,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.7726069688796997,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,3.256091356277466,3.256091356277466
